year,position,artist,song,score,us,uk,de,fr,ca,au
"2007","70","Michael Buble","Everything","5097.855","46","38","-","-","10","19"
"2007","71","Christina Aguilera","Candyman","5065.722","25","17","-","-","-","2"
"2007","72","Maroon 5","Wake Up Call","4947.300","19","33","-","-","6","19"
"2007","73","Kelly Clarkson","Never Again","4871.824","8","9","-","-","8","5"
"2007","74","Hurricane Chris","A Bay Bay","4842.980","7","-","-","-","-","-"
"2007","75","Baby Boy Da'prince","The Way I Live","4835.254","21","-","-","-","-","-"
"2007","76","Ludacris & Mary J Blige","Runaway Love","4826.344","2","52","-","-","-","-"
"2007","77","Lloyd & Lil' Wayne","You","4805.082","9","45","-","-","-","-"
"2007","78","The Foo Fighters","The Pretender","4778.416","37","8","-","-","15","10"
"2007","79","Lloyd","Get It Shawty","4765.534","16","72","-","-","-","-"
"2007","80","Boys Like Girls","The Great Escape","4732.285","23","-","-","-","-","-"
"2007","81","The Red Jumpsuit Apparatus","Face Down","4696.438","24","-","-","-","48","-"
"2007","82","R Kelly","I'm A Flirt","4693.767","12","18","-","-","-","-"
"2007","83","Taylor Swift","Teardrops On My Guitar","4628.549","24","-","-","-","45","-"
"2007","84","Jim Jones","We Fly High","4592.468","5","-","-","-","-","-"
"2007","85","Matchbox Twenty","How Far We've Come","4567.315","11","-","-","-","4","7"
"2007","86","Lifehouse","First Time","4566.061","26","-","-","-","47","-"
"2007","87","Hellogoodbye","Here in your Arms","4541.440","14","4","-","-","-","-"
"2007","88","Bone Thugs-n-Harmony & Akon","I Tried","4288.987","6","69","-","-","-","-"
"2007","89","Fat Joe & Lil' Wayne","Make It Rain","4245.571","13","-","-","-","-","-"
"2007","90","Kelly Rowland & Eve","Like This","4242.037","30","4","-","-","-","13"
"2007","91","Justin Timberlake","SexyBack","4168.354","12","30","-","52","-","15"
"2007","92","My Chemical Romance","Welcome To The Black Parade","4147.171","9","24","-","-","-","14"
"2007","93","Red Hot Chili Peppers","Snow, Hey Oh","4047.614","22","41","5","-","-","35"
"2007","94","Daughtry","Over You","4046.614","18","-","-","-","16","-"
"2007","95","T.I.","Big Things Poppin' (Do It)","4041.569","9","-","-","-","-","-"
"2007","96","Justin Timberlake & Beyonce","Until The End Of Time","4018.320","17","-","-","-","-","-"
"2007","97","R Kelly & Usher","Same Girl","3976.273","20","26","-","-","-","47"
"2007","98","My Chemical Romance","Teenagers","3969.716","67","9","-","-","-","16"
"2007","99","James Blunt","1973","3966.554","73","4","2","-","13","11"
"2007","100","Christina Aguilera","Hurt","3965.131","21","38","3","3","-","18"
"2008","1","Leona Lewis","Bleeding Love","16266.619","1","2","1","1","1","1"
"2008","2","Flo-Rida & T-Pain","Low","13471.994","1","2","-","33","1","1"
"2008","3","Timbaland & OneRepublic","Apologize","12869.204","3","4","1","7","1","1"
"2008","4","Coldplay","Viva la vida","12689.653","1","1","5","7","4","2"
"2008","5","Katy Perry","I Kissed A Girl","12634.171","1","1","1","5","1","1"
"2008","6","Madonna & Justin Timberlake","Four Minutes","11278.892","3","1","1","2","1","1"
"2008","7","Rihanna","Disturbia","11058.844","1","3","5","3","2","6"
"2008","8","Rihanna","Take A Bow","10876.914","1","1","6","12","1","3"
"2008","9","Rihanna","Don't Stop The Music","10855.627","3","4","6","7","2","1"
"2008","10","Jordin Sparks & Chris Brown","No Air","10823.056","3","3","10","-","3","1"
"2008","11","Chris Brown","Forever","10659.568","2","4","-","25","2","7"
"2008","12","Ne-Yo","Closer","10608.582","7","1","4","-","19","8"
"2008","13","Duffy","Mercy","10595.235","27","1","1","2","11","26"
"2008","14","Chris Brown","With You","10335.983","2","8","-","11","2","5"
"2008","15","Estelle & Kanye West","American Boy","10121.535","9","1","5","3","9","3"
"2008","16","Sara Bareilles","Love Song","10061.529","4","4","-","-","1","4"
"2008","17","Alicia Keys","No One","9992.994","1","10","3","5","2","3"
"2008","18","Usher & Young Jeezy","Love In This Club","9803.860","1","4","5","9","6","8"
"2008","19","Pink","So What","9128.836","1","1","1","4","1","1"
"2008","20","Lil' Wayne","Lollipop","8821.445","1","26","-","-","10","32"
"2008","21","OneRepublic","Stop & Stare","8780.525","12","4","6","29","16","11"
"2008","22","Kid Rock","All Summer Long","8531.450","23","1","1","24","12","1"
"2008","23","Jason Mraz","I am yours","7726.595","6","55","8","-","6","3"
"2008","24","Leona Lewis","Better In Time","7711.671","11","2","2","-","9","6"
"2008","25","The Pussycat Dolls","When I Grow Up","7472.377","9","3","7","2","3","2"
"2008","26","Katy Perry","Hot 'n' cold","7334.110","3","4","1","18","1","4"
"2008","27","T.I.","Whatever You Like","6985.889","1","47","-","-","12","13"
"2008","28","Natasha Bedingfield","Pocketful Of Sunshine","6869.770","5","-","-","-","3","-"
"2008","29","Kardinal Offishall & Akon","Dangerous","6825.643","5","16","-","8","2","42"
"2008","30","Mariah Carey","Touch My Body","6423.473","1","5","7","16","2","17"
"2008","31","Miley Cyrus","See You Again","6412.487","10","11","-","-","4","6"
"2008","32","Gabriella Cilmi","Sweet About Me","6178.041","-","6","2","9","-","1"
"2008","33","Ray J & Yung Berg","Sexy Can I","6030.028","3","66","-","-","20","-"
"2008","34","Metro Station","Shake It","5872.183","10","-","-","-","4","2"
"2008","35","Jesse McCartney","Leavin'","5714.810","10","48","-","32","16","49"
"2008","36","Colbie Caillat","Bubbly","5640.206","6","58","-","-","2","1"
"2008","37","Yael Naim","New Soul","5524.274","7","30","4","2","7","29"
"2008","38","Jordin Sparks","Tattoo","5417.806","8","24","-","-","3","5"
"2008","39","T.I. & Rihanna","Live Your Life","5382.085","1","2","-","17","5","3"
"2008","40","MIA","Paper Planes","5312.040","4","19","-","-","7","-"
"2008","41","Ne-Yo","Miss Independent","4910.375","7","6","-","-","21","40"
"2008","42","Sean Kingston","Take You There","4901.247","7","47","-","30","7","34"
"2008","43","Britney Spears","Piece Of Me","4888.723","18","2","7","-","5","2"
"2008","44","Soulja Boy","Crank That (Soulja Boy)","4876.259","5","2","-","32","5","3"
"2008","45","Beyonce","If I Were A Boy","4855.308","3","1","3","5","4","3"
"2008","46","Britney Spears","Womanizer","4826.247","1","3","4","1","1","5"
"2008","47","Lady GaGa & Colby O'Donis","Just Dance","4726.656","3","-","-","14","1","1"
"2008","48","Finger Eleven","Paralyzer","4668.791","6","-","-","-","21","12"
"2008","49","Kanye West","Love Lockdown","4646.976","3","8","8","-","5","19"
"2008","50","Three Doors Down","It's Not My Time","4606.257","17","-","-","-","20","26"
"2008","51","Lil Wayne & T-Pain","Got Money","4588.198","10","-","-","-","33","-"
"2008","52","Lupe Fiasco","Superstar","4554.952","10","4","-","-","46","32"
"2008","53","Buckcherry","Sorry","4385.435","9","-","-","-","7","-"
"2008","54","Flo-Rida & will.i.am","In The Ayer","4324.967","9","29","-","-","13","19"
"2008","55","Mark Ronson & Amy Winehouse","Valerie","4255.824","-","6","3","-","-","-"
"2008","56","Danity Kane","Damaged","4251.941","10","-","-","-","26","-"
"2008","57","Amy Macdonald","This Is The Life","4251.089","-","28","2","2","-","-"
"2008","58","Lil' Wayne","A Milli","4247.561","6","-","-","-","-","-"
"2008","59","Secondhand Serenade","Fall For You","4163.401","21","-","-","-","36","19"
"2008","60","Colby O'Donis & Akon","What You Got","4157.309","14","-","-","-","29","-"
"2008","61","Plies & Ne-Yo","Bust It Baby Part 2","4129.386","7","-","-","-","-","-"
"2008","62","T-Pain & Lil' Wayne","Can't Believe It","4097.984","7","100","-","-","-","-"
"2008","63","Linkin Park","Shadow Of The Day","4004.942","15","-","-","20","12","15"
"2008","64","Taylor Swift","Our Song","3986.002","16","-","-","-","30","-"
"2008","65","Kevin Rudolf & Lil' Wayne","Let It Rock","3962.412","5","56","-","-","2","13"
"2008","66","Fergie","Clumsy","3936.143","5","-","-","-","4","4"
"2008","67","Nickelback","Rockstar","3918.208","23","2","-","-","-","-"
"2008","68","Jordin Sparks","One Step At A Time","3916.748","17","-","-","-","11","12"
"2008","69","Akon","Right Now (Na, Na, Na)","3889.325","8","6","-","8","13","23"
"2008","70","September","Cry For You","3873.856","74","5","-","6","33","14"
"2008","71","Webbie, Lil' Phat & Lil' Boosie","Independent","3868.329","9","-","-","-","-","-"
"2008","72","John Mayer","Say","3865.034","12","-","-","-","27","47"
"2008","73","Chris Brown & T-Pain","Kiss Kiss","3836.012","4","39","-","-","6","8"
"2008","74","Jennifer Hudson","Spotlight","3825.839","24","11","-","-","-","-"
"2008","75","Colbie Caillat","Realize","3800.966","20","-","-","-","37","-"
"2008","76","Snoop Dogg","Sensual Seduction","3800.183","7","24","-","-","-","-"
"2008","77","Taylor Swift","Teardrops On My Guitar","3660.580","13","-","-","-","-","-"
"2008","78","Madonna","Give It 2 Me","3620.054","57","7","8","5","8","23"
"2008","79","Coldplay","Violet Hill","3591.999","40","8","10","36","6","9"
"2008","80","Gavin Rossdale","Love Remains The Same","3555.635","27","-","-","-","28","-"
"2008","81","Rihanna & Ne-Yo","Hate That I Love You","3553.634","9","22","-","16","23","15"
"2008","82","Cascada","What Hurts The Most","3537.456","52","13","9","2","-","-"
"2008","83","David Archuleta","Crush","3474.093","2","-","-","-","7","-"
"2008","84","Flo-Rida & Timbaland","Elevator","3472.154","16","20","-","-","10","13"
"2008","85","Alicia Keys","Like You'll Never See Me Again","3471.929","12","53","-","-","-","-"
"2008","86","The Game & Lil' Wayne","My Life","3381.559","21","34","-","-","42","-"
"2008","87","Miley Cyrus","7 Things","3375.941","9","25","-","-","13","10"
"2008","88","Saving Abel","Addicted","3374.544","20","-","-","-","46","-"
"2008","89","Jonas Brothers","Burning Up","3363.582","5","30","-","-","14","31"
"2008","90","Maroon 5 & Rihanna","If I Never See Your Face Again","3275.111","51","28","-","-","12","11"
"2008","91","David Banner","Get Like Me","3252.243","16","-","-","-","-","-"
"2008","92","Gavin Degraw","In Love With A Girl","3211.623","24","-","-","-","32","-"
"2008","93","David Cook","Time Of My Life","3188.195","3","61","-","-","2","-"
"2008","94","Young Jeezy & Kanye West","Put On","3186.895","12","-","-","-","46","-"
"2008","95","Britney Spears","Break The Ice","3173.146","43","15","-","-","9","23"
"2008","96","Timbaland & Keri Hilson","The Way I Are","3162.811","20","24","-","38","12","6"
"2008","97","Kings of Leon","Sex On Fire","3094.226","56","1","-","-","22","1"
"2008","98","Guru Josh Project","Infinity 2008","3060.586","-","3","4","1","-","-"
"2008","99","Lil' Wayne","Mrs Officer","3055.207","16","57","-","-","-","-"
"2008","100","Three 6 Mafia","Lolli Lolli (Pop That Body)","3025.676","18","-","-","-","-","-"
"2009","1","Lady GaGa","Poker Face","15974.796","1","1","1","1","1","1"
"2009","2","The Black Eyed Peas","I Gotta Feeling","12856.151","1","1","3","2","1","1"
"2009","3","The Black Eyed Peas","Boom Boom Pow","11896.452","1","1","3","4","1","1"
"2009","4","Pitbull","I Know You Want Me (Calle Ocho)","9658.792","2","4","8","1","2","6"
"2009","5","Kings of Leon","Use Somebody","9456.645","4","3","9","-","8","2"
"2009","6","Lady GaGa & Colby O'Donis","Just Dance","9084.141","1","1","10","41","10","15"
"2009","7","Flo-Rida & Ke$ha","Right Round","8908.167","1","1","4","2","1","1"
"2009","8","Taylor Swift","Love Story","8678.409","4","2","-","14","4","1"
"2009","9","Jason Mraz","I am yours","8673.380","7","11","-","-","3","13"
"2009","10","Beyonce","Halo","8343.750","5","4","5","-","3","3"
"2009","11","David Guetta & Akon","Sexy Chick (Sexy Bitch)","7226.322","6","1","1","2","1","1"
"2009","12","Taylor Swift","You Belong With Me","7039.829","2","30","-","-","3","5"
"2009","13","Katy Perry","Hot 'n' cold","6980.038","6","7","1","10","2","9"
"2009","14","Keri Hilson & Kanye West & Ne-Yo","Knock You Down","6841.536","3","5","-","-","9","24"
"2009","15","All-American Rejects","Gives You Hell","6803.912","4","18","-","29","4","3"
"2009","16","Kid Cudi & Crookers","Day 'N' Nite","6651.699","3","2","-","8","10","15"
"2009","17","Miley Cyrus","The Climb","6641.822","4","11","-","16","5","5"
"2009","18","Lady GaGa","Paparazzi","6599.191","6","4","1","6","3","2"
"2009","19","Beyonce","Single Ladies (Put A Ring On It)","6337.105","1","7","-","-","2","5"
"2009","20","Kelly Clarkson","My Life Would Suck Without You","6176.860","1","1","6","-","1","5"
"2009","21","Lady GaGa","LoveGame","6164.712","5","19","7","5","2","4"
"2009","22","Soulja Boy & Sammie","Kiss Me Thru The Phone","6063.853","3","6","-","16","10","16"
"2009","23","The Fray","You Found Me","5904.081","7","35","-","-","12","1"
"2009","24","Jay Sean & Lil' Wayne","Down","5810.053","1","3","-","-","3","2"
"2009","25","T.I. & Justin Timberlake","Dead & Gone","5573.343","2","-","7","-","3","4"
"2009","26","David Guetta & Kelly Rowland","When Love Takes Over","5571.096","76","1","2","2","22","6"
"2009","27","Kanye West","Heartless","5319.587","2","10","-","-","8","40"
"2009","28","Cascada","Evacuate The Dancefloor","5198.902","25","1","5","5","4","3"
"2009","29","Shinedown","Second Chance","5066.587","7","74","-","-","29","19"
"2009","30","Jay-Z, Rihanna & Kanye West","Run This Town","4987.191","2","1","-","-","6","9"
"2009","31","Pink","Sober","4970.797","15","9","3","-","8","9"
"2009","32","Beyonce","Sweet Dreams","4967.000","10","5","8","-","17","2"
"2009","33","3OH!3","Don't Trust Me","4958.770","7","-","-","-","6","3"
"2009","34","Pink","Please Don't Leave Me","4928.086","17","12","8","-","8","11"
"2009","35","Sean Kingston","Fire Burning","4905.214","5","12","-","-","2","48"
"2009","36","Katy Perry","Waking Up In Vegas","4702.191","9","19","-","-","2","11"
"2009","37","Jamie Foxx & T-Pain","Blame It","4687.212","2","-","-","-","7","-"
"2009","38","Jay-Z & Alicia Keys","Empire State Of Mind","4571.453","1","2","-","-","3","4"
"2009","39","James Morrison & Nelly Furtado","Broken Strings","4568.036","-","2","1","6","41","-"
"2009","40","Britney Spears","Circus","4491.041","4","13","-","-","2","6"
"2009","41","Pitbull","Hotel Room Service","4406.582","8","9","-","-","7","12"
"2009","42","Miley Cyrus","Party In The U.S.A.","4406.238","2","-","-","-","3","6"
"2009","43","Jason Derulo","Whatcha Say","4405.017","1","3","-","-","3","7"
"2009","44","Kevin Rudolf & Lil' Wayne","Let It Rock","4397.920","8","5","10","-","3","3"
"2009","45","Shakira","She Wolf","4392.259","11","4","2","-","5","18"
"2009","46","Coldplay","Viva la vida","4345.807","13","27","-","55","11","23"
"2009","47","Akon","Beautiful","4343.375","19","8","-","-","18","14"
"2009","48","Drake","Best I Ever Had","4331.508","2","-","-","-","24","-"
"2009","49","The Black Eyed Peas","Meet Me Half Way","4328.997","7","1","1","3","5","1"
"2009","50","Britney Spears","Womanizer","4300.203","5","9","-","1","3","11"
"2009","51","Linkin Park","New Divide","4262.116","6","19","4","-","3","3"
"2009","52","The Pussycat Dolls","I Hate This Part","4252.990","11","20","-","3","5","17"
"2009","53","T.I. & Rihanna","Live Your Life","4225.807","2","12","-","24","4","3"
"2009","54","Beyonce","If I Were A Boy","4224.771","9","3","6","5","7","11"
"2009","55","Mariah Carey","Obsessed","4190.818","7","52","-","8","15","13"
"2009","56","Flo-Rida & Wynter","Sugar","4187.693","5","18","-","9","8","20"
"2009","57","Jordin Sparks","Battlefield","4166.350","10","11","-","-","5","4"
"2009","58","Cobra Starship","Good Girls Go Bad","4084.176","7","17","-","-","7","5"
"2009","59","The Killers","Human","4032.329","41","8","4","-","17","39"
"2009","60","Pink","So What","3929.048","14","15","7","4","12","10"
"2009","61","Kings of Leon","Sex On Fire","3851.418","58","6","-","-","22","5"
"2009","62","Ne-Yo","Mad","3741.726","11","19","-","-","23","-"
"2009","63","Jeremih","Birthday Sex","3741.013","4","15","-","34","35","37"
"2009","64","Ciara & Justin Timberlake","Love Sex Magic","3457.120","10","5","7","8","6","5"
"2009","65","Eminem, Dr Dre & 50 Cent","Crack A Bottle","3404.587","1","4","-","-","1","18"
"2009","66","The Veronicas","Untouched","3365.070","17","8","-","-","5","-"
"2009","67","Eminem","We Made You","3339.973","9","4","9","11","6","1"
"2009","68","Owl City","Fireflies","3320.772","1","-","-","-","2","4"
"2009","69","Lily Allen","The Fear","3319.881","80","1","-","15","33","3"
"2009","70","Akon","Right Now (Na, Na, Na)","3097.823","13","13","-","11","7","17"
"2009","71","A R Rahman & The Pussycat Dolls","Jay Ho (you Are My Destiny)","3095.685","15","-","-","3","4","1"
"2009","72","Green Day","21 Guns","3087.523","22","36","-","-","15","14"
"2009","73","Nickelback","If Today Was Your Last Day","3053.498","19","64","-","-","7","26"
"2009","74","Enrique Iglesias & Ciara","Takin' Back My Love","3020.218","-","12","9","2","-","-"
"2009","75","Kelly Clarkson","Already Gone","3008.756","13","66","-","-","15","12"
"2009","76","Britney Spears","If U Seek Amy","3005.109","19","20","-","-","13","11"
"2009","77","Colbie Caillat","Falling For You","2988.914","12","-","-","-","28","-"
"2009","78","Daughtry","No Surprise","2987.375","15","-","-","-","13","34"
"2009","79","Lady GaGa","Bad Romance","2983.350","2","1","3","-","1","2"
"2009","80","Katy Perry","Thinking Of You","2917.559","29","27","-","11","24","34"
"2009","81","Ke$ha","Tik-Toc","2806.794","2","5","-","-","1","1"
"2009","82","Mario","Break Up","2766.235","14","-","-","-","-","-"
"2009","83","Britney Spears","3","2747.676","1","7","-","-","1","6"
"2009","84","Milow","Ayo Technology","2714.891","-","-","2","8","-","-"
"2009","85","Gossip","Heavy Cross","2707.923","-","37","2","-","-","7"
"2009","86","Keri Hilson","Turning Me On","2694.863","15","-","-","-","-","-"
"2009","87","Rihanna","Disturbia","2650.800","19","30","-","17","17","35"
"2009","88","Iyaz","Replay","2611.375","4","-","-","-","9","-"
"2009","89","Guru Josh Project","Infinity 2008","2567.327","-","18","6","3","35","-"
"2009","90","Justin Bieber","One Time","2565.161","20","-","-","-","12","-"
"2009","91","The Ting Tings","That's Not My Name","2540.876","39","41","-","-","-","25"
"2009","92","Nickelback","Gotta Be Somebody","2537.002","16","73","-","-","7","21"
"2009","93","Kelly Clarkson","I Do Not Hook Up","2532.003","20","36","-","-","13","9"
"2009","94","Rob Thomas","Her Diamonds","2488.971","23","-","-","-","28","3"
"2009","95","Fabolous","Throw It In The Bag","2461.334","14","-","-","-","-","-"
"2009","96","Asher Roth","I Love College","2453.680","12","26","-","-","-","-"
"2009","97","Rihanna","Russian Roulette","2409.653","9","2","2","4","9","7"
"2009","98","Boys Like Girls","Love Drunk","2404.758","22","-","-","-","32","-"
"2009","99","Young Money","Every Girl","2387.434","10","-","-","-","-","-"
"2009","100","Ne-Yo","Miss Independent","2359.406","14","40","-","16","21","-"
"2010","1","Ke$ha","Tik-Toc","9323.302","1","4","1","1","1","1"
"2010","2","Train","Hey, Soul Sister","9235.084","3","18","7","15","3","1"
"2010","3","Katy Perry & Snoop Dogg","California Gurls","8834.066","1","1","3","5","1","1"
"2010","4","Eminem & Rihanna","Love The Way You Lie","8802.363","1","2","1","3","1","1"
"2010","5","Lady GaGa","Bad Romance","8543.473","2","1","1","1","1","2"
"2010","6","Lady GaGa & Beyonce","Telephone","7732.194","3","1","3","3","3","3"
"2010","7","Taio Cruz","Dynamite","7635.022","2","1","3","5","1","1"
"2010","8","Usher & will.i.am","OMG","7037.119","1","1","-","-","2","1"
"2010","9","BoB & Hayley Williams","Airplanes","6918.392","2","1","8","-","2","2"
"2010","10","Taio Cruz & Ludacris","Break Your Heart","6693.647","1","38","5","2","1","2"
"2010","11","Lady Antebellum","Need You Now","6631.913","2","21","-","-","2","27"
"2010","12","Enrique Iglesias & Pitbull","I Like It","6532.561","4","4","10","2","1","2"
"2010","13","Lady GaGa","Alejandro","6532.238","5","7","2","3","4","2"
"2010","14","Rihanna","Rude Boy","6462.599","1","2","4","8","7","1"
"2010","15","The Black Eyed Peas","I Gotta Feeling","5960.129","9","14","-","15","7","10"
"2010","16","Jason Derulo","In My Head","5860.330","5","1","9","-","2","1"
"2010","17","Usher & Pitbull","DJ Got Us Fallin' In Love","5802.663","4","7","5","3","2","3"
"2010","18","Shakira & Freshly Ground","Waka Waka (This Time For Africa)","5771.752","38","21","1","1","11","32"
"2010","19","Bruno Mars","Just The Way You Are (Amazing)","5758.816","1","1","2","-","1","1"
"2010","20","Justin Bieber & Ludacris","Baby","5660.051","5","3","-","1","3","3"
"2010","21","Iyaz","Replay","5536.856","2","1","7","7","5","1"
"2010","22","BoB & Bruno Mars","Nothin' On You","5445.812","1","1","-","-","10","3"
"2010","23","Katy Perry","Teenage Dream","5421.838","1","2","6","-","2","2"
"2010","24","Owl City","Fireflies","5343.000","4","1","6","17","3","1"
"2010","25","Eminem","Not Afraid","5306.923","1","5","9","-","1","4"
"2010","26","Flo-Rida & David Guetta","Club Can't Handle Me","5283.828","9","1","4","-","4","3"
"2010","27","Yolanda Be Cool & DCup","We No Speak Americano","5240.094","29","1","1","2","16","4"
"2010","28","Rihanna","Only Girl (In The World)","5232.433","1","1","2","2","1","1"
"2010","29","Travie McCoy & Bruno Mars","Billionaire","5006.379","4","3","-","-","12","5"
"2010","30","Mike Posner","Cooler Than Me","4758.198","6","5","-","31","5","4"
"2010","31","Jay-Z & Alicia Keys","Empire State Of Mind","4735.854","1","16","-","8","3","4"
"2010","32","Jason Derulo","Ridin' Solo","4611.725","9","2","-","-","19","4"
"2010","33","Ke$ha","Your Love Is My Drug","4467.754","4","13","-","-","6","3"
"2010","34","David Guetta & Akon","Sexy Chick (Sexy Bitch)","4374.800","5","33","-","14","4","13"
"2010","35","Edward Maya","Stereo Love","4372.260","19","4","4","1","10","-"
"2010","36","The Black Eyed Peas","Meet Me Half Way","4278.682","8","3","3","3","6","10"
"2010","37","Young Money & Lloyd","BedRock","4209.132","2","9","-","-","12","-"
"2010","38","Michael Buble","Haven't Met You Yet","4175.244","24","23","-","-","17","9"
"2010","39","Adam Lambert","What Do You Want From Me?","4143.439","10","53","5","20","3","4"
"2010","40","The Script","Breakeven","4108.238","12","85","-","-","20","-"
"2010","41","David Guetta & Kid Cudi","Memories","4085.041","46","15","6","5","18","3"
"2010","42","K'naan","Wavin' Flag","4046.917","82","2","1","2","2","-"
"2010","43","Stromae","Alors on danse","3951.223","-","25","1","1","46","-"
"2010","44","The Black Eyed Peas","Imma Be","3858.623","1","55","-","-","5","7"
"2010","45","Far East Movement, Cataracs & Dev","Like A G6","3805.311","1","5","-","14","3","2"
"2010","46","Nelly","Just A Dream","3663.055","3","8","-","-","5","3"
"2010","47","Jason Derulo","Whatcha Say","3633.938","6","16","7","10","7","5"
"2010","48","Timbaland & Katy Perry","If We Ever Meet Again","3594.859","37","3","9","5","4","9"
"2010","49","Timbaland & Justin Timberlake","Carry Out","3571.041","11","6","-","-","7","-"
"2010","50","The Black Eyed Peas","Rock That Body","3569.805","9","11","10","7","41","8"
"2010","51","Drake","Find Your Love","3268.569","5","24","-","-","10","-"
"2010","52","OneRepublic","All The Right Moves","3179.991","18","26","-","19","27","-"
"2010","53","Jay Sean, Sean Paul & Lil' Jon","Do You Remember?","3134.679","10","13","-","13","11","7"
"2010","54","David Guetta & Chris Willis","Getting Over You","3120.768","31","-","-","1","12","5"
"2010","55","Ke$ha","Take It Off","3024.455","8","15","-","-","8","5"
"2010","56","Jay-Z & Mr Hudson","Young Forever","3020.341","10","10","-","-","21","28"
"2010","57","Jay Sean & Lil' Wayne","Down","2952.317","7","26","-","17","17","6"
"2010","58","Cee-Lo Green","F**k You/Forget You","2947.957","9","1","-","-","11","5"
"2010","59","La Roux","Bulletproof!","2868.435","8","83","-","-","-","26"
"2010","60","Taylor Swift","Mine","2827.769","3","30","-","-","7","9"
"2010","61","BoB & Rivers Cuomo","Magic","2792.719","10","16","-","-","17","5"
"2010","62","Trey Songz & Fabolous","Say Aah","2787.924","9","-","-","-","43","-"
"2010","63","Neon Trees","Animal","2677.971","13","-","-","-","29","-"
"2010","64","Cheryl Cole","Fight For This Love","2664.667","-","11","4","7","-","-"
"2010","65","OneRepublic","Secrets","2643.991","21","77","9","-","32","-"
"2010","66","Ludacris","How Low","2642.488","6","67","-","-","41","-"
"2010","67","Ke$ha & 3OH!3","Blah, Blah, Blah","2575.685","7","-","-","-","3","3"
"2010","68","Pink","Raise Your Glass","2574.761","1","13","5","-","2","1"
"2010","69","3OH!3 & Ke$ha","My First Kiss","2491.931","9","7","-","-","7","13"
"2010","70","Sean Kingston & Justin Bieber","Eenie Meenie","2473.649","15","9","-","-","14","11"
"2010","71","Maroon 5","Misery","2432.768","14","30","-","-","13","39"
"2010","72","Rihanna","Russian Roulette","2404.085","43","8","5","4","22","17"
"2010","73","Shontelle","Impossible","2385.694","13","9","-","-","33","-"
"2010","74","Trey Songz & Nicki Minaj","Bottoms Up","2368.237","6","-","-","-","39","-"
"2010","75","Chris Brown","Deuces","2323.228","14","68","-","-","-","-"
"2010","76","Drake","Over","2277.836","14","50","-","-","17","-"
"2010","77","Katy Perry","Firework","2220.519","1","3","9","-","1","3"
"2010","78","Kris Allen","Live Like We're Dying","2211.402","18","-","-","-","41","-"
"2010","79","Miley Cyrus","Can't Be Tamed","2201.701","8","13","-","15","6","14"
"2010","80","Selena Gomez & The Scene","Naturally","2197.113","29","7","-","-","18","46"
"2010","81","Orianthi","According To You","2178.188","17","-","-","-","22","13"
"2010","82","Nicki Minaj","Your Love","2138.214","14","71","-","-","43","-"
"2010","83","Justin Bieber","One Time","2119.928","17","11","-","13","-","23"
"2010","84","Lady GaGa","Paparazzi","2111.753","11","48","-","6","30","-"
"2010","85","Alicia Keys","Try Sleeping With A Broken Heart","2111.498","27","7","-","-","37","-"
"2010","86","Rihanna & Young Jeezy","Hard","2085.186","8","42","-","-","9","-"
"2010","87","Miley Cyrus","Party In The U.S.A.","2083.962","8","-","-","6","10","14"
"2010","88","Sugarland","Stuck Like Glue","2070.051","17","-","-","-","29","-"
"2010","89","Adam Lambert","If I Had You","2053.856","30","-","-","-","8","4"
"2010","90","Ludacris & Nicki Minaj","My Chick Bad","2053.707","11","-","-","-","-","-"
"2010","91","Paramore","The Only Exception","2037.008","24","31","-","-","25","17"
"2010","92","The Band Perry","If I Die Young","1992.469","19","-","-","-","48","-"
"2010","93","The Black Eyed Peas","The Time (Dirty Bit)","1990.791","4","1","2","-","1","1"
"2010","94","Kevin Rudolf & Lil' Wayne","I Made It (Cash Money Heroes)","1976.986","21","-","-","-","44","4"
"2010","95","Alicia Keys","Empire State Of Mind (Part II) Broken Down","1934.212","55","4","-","-","40","-"
"2010","96","Florence + The Machine","Dog Days Are Over","1918.017","21","23","-","-","19","-"
"2010","97","Kylie Minogue","All The Lovers","1904.007","-","3","10","3","-","13"
"2010","98","Unheilig","Geboren um zu leben","1896.995","-","-","2","-","-","-"
"2010","99","Usher","There Goes My Baby","1889.869","25","-","-","-","-","-"
"2010","100","DJ Khaled, T-Pain, Ludacris, Snoop Dogg & Rick Ross","All I Do Is Win","1885.939","24","-","-","-","-","-"
"2011","1","Adele","Rolling In The Deep","14856.700","1","2","1","3","1","3"
"2011","2","LMFAO","Party Rock Anthem","13950.832","1","1","1","1","1","1"
"2011","3","Pitbull, Ne-Yo, Afrojack & Nayer","Give Me Everything","12527.020","1","1","2","2","1","2"
"2011","4","Jennifer Lopez & Pitbull","On The Floor","10916.424","3","1","1","1","1","1"
"2011","5","Adele","Someone Like You","10250.850","1","1","4","1","2","1"
"2011","6","Maroon 5 & Christina Aguilera","Moves Like Jagger","9788.080","1","2","2","3","1","2"
"2011","7","Bruno Mars","Grenade","9366.741","1","1","1","7","1","1"
"2011","8","Katy Perry","Firework","8677.866","1","5","4","7","2","4"
"2011","9","Katy Perry & Kanye West","E.T.","8275.096","1","3","9","10","1","5"
"2011","10","Rihanna","S&M","8091.210","2","3","2","3","3","1"
"2011","11","Lady GaGa","Born This Way","8079.247","1","3","1","2","1","1"
